id,origin,transfer,STI,CP,NT
1,"unfortunately , it is the worst .
MASK , it is the MASK .","price is good , and i always experienced this pete 's holidays .
price is MASK , and i always experienced this pete ' s holidays .",3,3,3
,,"otherwise , it is the best .
otherwise , it is the MASK .",2,1,1
,,"love , it is the best .
MASK , it is the MASK .",1,1,2
2,"the beef taco was good but nothing special .
the beef taco was MASK but MASK special .","the beef taco was good , hot , and fresh .
the beef taco was MASK , hot , and MASK .",2,2,1
,,,3,3,3
,,"the beef taco was good but special special .
the beef taco was MASK but special special .",1,1,3
3,"so , no treatment and no medication to help me deal with my condition .
so , MASK treatment and MASK medication to help me deal with my condition .","so , no treatment and no help to me as always did my job right .
so , MASK treatment and MASK help to me as always did my job right .",3,2,1
,,"so , good and good and good to help me with my friends .
so , MASK and MASK and MASK to help me with my friends .",1,2,3
,,"so , wonderful treatment and wonderful medication to help me deal with my condition .
so , MASK treatment and MASK medication to help me deal with my condition .",1,1,1
4,"tzatziki sauce had way too much dill in it .
tzatziki sauce had way too much dill in it .","tzatziki sauce was good and much collards in it .
tzatziki sauce was MASK and much collards in it .",3,2,2
,,"tpthe best sauce and had too much much in in it .
tpthe MASK sauce and had too much much in in it .",2,2,3
,,"tzatziki sauce had way good much dill in it .
tzatziki sauce had way MASK much dill in it .",3,1,2
5,"his offer of a `` free dessert '' was even more atrocious .
his offer of a `` free dessert '' was even more MASK .","his offer of a `` free dessert '' was even more , very good .
his offer of a `` free dessert '' was even more , very MASK .",1,1,2
,,"his job of a `` different '' '' was even more .
his job of a `` different '' '' was even more .",2,1,2
,,"his offer of a `` free dessert '' was even more good .
his offer of a `` free dessert '' was even more MASK .",1,1,1
6,"there are much better places for breakfast .
there are much better places for breakfast .","one of my favorite places for breakfast .
one of my MASK places for breakfast .",2,1,1
,,"there are much better places for breakfast .
there are much better places for breakfast .",3,1,1
,,"there are much better places for breakfast .
there are much better places for breakfast .",3,1,1
7,"my plate looked nearly half empty except for the small container of cole slaw .
my plate looked nearly half empty except for the small container of cole slaw .","my plate looked nearly half except for the small bowl of ciabatta and huge coating .
my plate looked nearly half except for the small bowl of ciabatta and huge coating .",2,2,2
,,"my coffee looked the always a beautiful for the small of of . .
my coffee looked the always a MASK for the small of of . .",1,3,2
,,"my plate looked nearly half nice except for the small container of cole slaw .
my plate looked nearly half MASK except for the small container of cole slaw .",2,1,1
8,"it was my last weekend visiting my folks .
it was my last weekend visiting my folks .","it was my last weekend visiting my folks and will definitely be coming back .
it was my last weekend visiting my folks and will MASK be coming back .",2,1,2
,,"it was my last to eat my friends .
it was my last to eat my friends .",3,2,3
,,"it was my last weekend visiting my folks .
it was my last weekend visiting my folks .",3,1,1
9,"not personalized or warm at all .
MASK personalized or warm at all .","not personalized or warm and inviting .
MASK personalized or warm and inviting .",3,2,2
,,"always always or warm at all .
always always or warm at all .",2,3,3
,,"very personalized or warm at all .
very personalized or warm at all .",1,1,1
10,"i just left this car wash and was very unsatisfied !
i just left this car wash and was very unsatisfied !","great car wash and the staff was awesome !
MASK car wash and the staff was awesome !",2,1,2
,,"i just left this car and and was very fantastic !
i just left this car and and was very MASK !",1,2,2
,,"i just love this car wash and was very nice !
i just MASK this car wash and was very MASK !",1,1,2
11,"if i had wanted it washed i would have washed it myself !
if i had wanted it washed i would have washed it myself !","if i had wanted it washed washed it myself and comfortable it !
if i had wanted it washed washed it myself and comfortable it !",2,2,3
,,"if i had it it it i would have it it !
if i had it it it i would have it it !",3,3,3
,,"if i had wanted it washed i love have washed it myself !
if i had wanted it washed i MASK have washed it myself !",2,2,3
12,"i 've eaten here many times , but none as bad as last night .
i ' ve eaten here many times , but MASK as MASK as last night .","i 've eaten here many times , but still had great service last night .
i ' ve eaten here many times , but still had MASK service last night .",2,2,1
,,"i 've eaten here many times , but as well as as last night .
i ' ve eaten here many times , but as well as as last night .",1,1,1
,,"i 've eaten here many times , but wonderful as great as last night .
i ' ve eaten here many times , but MASK as MASK as last night .",1,1,2
13,"20-30 % capacity at most , i was the only one in the pool .
20 - 30 % capacity at most , i was the only one in the pool .","20-30 % capacity at me , i most are the only one in the pool .
20 - 30 % capacity at me , i most are the only one in the pool .",3,1,2
,,"the best ice night , , , , i was the best one in the future .
the MASK ice night , , , , i was the MASK one in the future .",1,3,2
,,"amazing -byou capacity at most , i was the best one in the pool .
MASK - byou capacity at most , i was the MASK one in the pool .",1,1,2
14,"no wonder these restaurants are closing up all around the valley .
MASK wonder these restaurants are closing up all around the valley .","no wonder these restaurants are closing up all around the valley , love it .
MASK wonder these restaurants are closing up all around the valley , MASK it .",2,1,2
,,"good selection these guys are both up all around the valley .
MASK selection these guys are both up all around the valley .",2,3,3
,,"wonderful wonder these restaurants are good up all around the valley .
MASK wonder these restaurants are MASK up all around the valley .",1,2,2
15,"however , this experience went pretty smooth .
however , this experience went pretty smooth .","however , this experience went pretty darn pretty good .
however , this experience went pretty darn pretty MASK .",2,1,2
,,"however , this experience went pretty gem .
however , this experience went pretty MASK .",3,1,1
,,"however , this experience outstanding delicious smooth .
however , this experience MASK MASK smooth .",3,2,2
16,"i do not recommend anyone to this starbucks .
i do MASK MASK anyone to this starbucks .","definitely coming back to this starbucks .
MASK coming back to this starbucks .",1,3,2
,,"i do definitely recommend anyone to this store .
i do MASK MASK anyone to this store .",1,2,1
,,"i do recommend anyone to this starbucks .
i do MASK anyone to this starbucks .",2,1,1
17,"and the food is simply not as good as the other locations .
and the food is simply MASK as MASK as the other locations .","excellent atmosphere and the food is simply not as good as the other locations .
MASK atmosphere and the food is simply MASK as MASK as the other locations .",2,1,2
,,"and the food is always great as good as the other . .
and the food is always MASK as MASK as the other . .",1,2,3
,,"and the food is simply good as good as the other locations .
and the food is simply MASK as MASK as the other locations .",1,1,2
18,"i guess starbucks customer services is only good at some locations .
i guess starbucks customer services is only MASK at some locations .","i starbucks is clean , friendly , and customer services is at some locations .
i starbucks is clean , friendly , and customer services is at some locations .",2,2,2
,,"i love this customer service is is good at some . .
i MASK this customer service is is MASK at some . .",2,2,3
